520,PNBHOUSING,INE572E01012,1055.6,15.15
521,PSUBNKBEES,INF204KB16I7,95.38,10.14
522,ADANIPORTS,INE742F01042,1883.2,12.76
523,HINDZINC,INE267A01025,528.7,16.58
524,PWL,INE0LP301011,133.34,16.13
525,NYKAA,INE388Y01029,314,11.9
526,J&KBANK,INE168A01041,164.7,15.93
527,SHREEJISPG,INE1B6101010,514.95,13.73
528,SGBSEP29VI,IN0020210145,14244.81,10
529,PSB,INE608A01012,24.91,15.87
530,KIMS,INE967H01025,837.9,13.14
531,VIJAYA,INE043W01024,1397.8,15.66
532,BANCOINDIA,INE213C01025,679.75,20.96
533,METROPOLIS,INE112L01020,544.3,12.24
534,BSLNIFTY,INF209KB19D1,28.28,9
535,HGINFRA,INE926X01010,564.25,16.57
536,PCBL,INE602A01031,318.4,18.19
537,TATACOMM,INE151A01013,1938,13.44
538,GROWWLIQID,INF666M01IP5,109.72,5
