Date,ISIN,Scrip Name,Symbol,Notional Open Interest,Portfolio-wise Futures Equivalent Open Interest
02-07-2026,INE692A01016,UNION BANK OF INDIA,UNIONBANK,156282150,122248264.82768825
02-07-2026,INE040A01034,HDFC BANK LTD,HDFCBANK,445808350,360630332.55414350
02-07-2026,INE298A01020,CUMMINS INDIA LTD,CUMMINSIND,5441400,4399228.24120600
02-07-2026,INE397D01024,BHARTI AIRTEL LIMITED,BHARTIARTL,73739475,54890042.17587550
02-07-2026,INE878B01027,KEI INDUSTRIES LTD.,KEI,2917250,2024337.51505225
02-07-2026,INE619A01035,PATANJALI FOODS LIMITED,PATANJALI,33340050,24826104.13352425
02-07-2026,INE811K01011,PRESTIGE ESTATE LTD,PRESTIGE,7532100,5916454.82244150
02-07-2026,INE603J01030,PI INDUSTRIES LTD,PIIND,4493650,3038089.28855575
02-07-2026,INE029A01011,BHARAT PETROLEUM CORP  LT,BPCL,69946600,45925862.84865050
02-07-2026,INE121E01018,JSW ENERGY LIMITED,JSWENERGY,32057575,24173857.04741350
02-07-2026,INE761H01022,PAGE INDUSTRIES LTD,PAGEIND,368960,276989.38504400
02-07-2026,INE596I01020,COMPUTER AGE MNGT SER LTD,CAMS,10494825,6893040.46432825
02-07-2026,INE00H001014,SWIGGY LIMITED,SWIGGY,78571725,61259681.29040650
02-07-2026,INE302A01020,EXIDE INDUSTRIES LTD,EXIDEIND,50266800,27165597.53116000
02-07-2026,INE123W01016,SBI LIFE INSURANCE CO LTD,SBILIFE,11476125,9370043.29980000
02-07-2026,INE733E01010,NTPC LTD,NTPC,162064500,129412668.06656000
02-07-2026,INE053A01029,THE INDIAN HOTELS CO. LTD,INDHOTEL,32117000,26739893.94407000
02-07-2026,INE298J01013,NIPPON L I A M LTD,NAM-INDIA,7726250,6641939.50723750
02-07-2026,INE002A01018,RELIANCE INDUSTRIES LTD,RELIANCE,220676000,130056925.84793500
02-07-2026,INE134E01011,POWER FIN CORP LTD.,PFC,72325500,53784780.73982200
02-07-2026,INE016A01026,DABUR INDIA LTD,DABUR,49726250,32795732.39760000
02-07-2026,INE669E01016,VODAFONE IDEA LIMITED,IDEA,7835160975,5943422303.93091525
02-07-2026,INE192A01025,TATA CONSUMER PRODUCT LTD,TATACONSUM,22983950,16807584.38337200
02-07-2026,INE540L01014,ALKEM LABORATORIES LTD.,ALKEM,1493375,1203159.89334125
02-07-2026,INE093I01010,OBEROI REALTY LIMITED,OBEROIRLTY,7683200,5988207.77745450
02-07-2026,INE226A01021,VOLTAS LTD,VOLTAS,12708750,8474199.47340375
02-07-2026,INE216A01030,BRITANNIA INDUSTRIES LTD,BRITANNIA,3598500,2435269.57251000
02-07-2026,INE059A01026,CIPLA LTD,CIPLA,21789325,14140250.32239175
02-07-2026,INE467B01029,TATA CONSULTANCY SERV LT,TCS,85891275,48988137.09254275
02-07-2026,INE079A01024,AMBUJA CEMENTS LTD,AMBUJACEM,107410800,87911707.99780400
02-07-2026,INE797F01020,JUBILANT FOODWORKS LTD,JUBLFOOD,30555000,18411503.87868750
02-07-2026,INE214T01019,LTM LIMITED,LTM,6117750,3940314.55261100
02-07-2026,INE259A01022,COLGATE PALMOLIVE LTD.,COLPAL,6895350,4768818.01659350
02-07-2026,INE053F01010,INDIAN RAILWAY FIN CORP L,IRFC,203654500,93295079.73777600
02-07-2026,INE522F01014,COAL INDIA LTD,COALINDIA,114984900,73621673.54833550
02-07-2026,INE732I01021,ANGEL ONE LIMITED,ANGELONE,40450000,24580726.69415000
02-07-2026,INE044A01036,SUN PHARMACEUTICAL IND L,SUNPHARMA,29149400,21101196.42575300
02-07-2026,INE213A01029,OIL AND NATURAL GAS CORP.,ONGC,168590250,106972312.37707250
02-07-2026,INE274J01014,OIL INDIA LTD,OIL,24043600,16373145.05732800
02-07-2026,INE101A01026,MAHINDRA & MAHINDRA LTD,M&M,30192800,21384403.96840000
02-07-2026,INE646L01027,INTERGLOBE AVIATION LTD,INDIGO,11354550,7632721.25633100
02-07-2026,INE205A01025,VEDANTA LIMITED,VEDL,124076950,64469469.72900050
02-07-2026,INE376G01013,BIOCON LIMITED.,BIOCON,64837500,43986012.18832500
02-07-2026,INE364U01010,ADANI GREEN ENERGY LTD,ADANIGREEN,29014800,22644711.93218800
02-07-2026,INE022Q01020,INDIAN ENERGY EXC LTD,IEX,111660150,82776076.67275500
02-07-2026,INE027H01010,MAX HEALTHCARE INS LTD,MAXHEALTH,18942000,13508304.26824025
02-07-2026,INE271C01023,DLF LIMITED,DLF,68419000,44499786.53898850
02-07-2026,NA,NA,BANKEX,23580,2419.24546770
02-07-2026,NA,NA,FOCIT,86850,17800.63696645
02-07-2026,NA,NA,BANKNIFTY,24929340,5434007.21571600
02-07-2026,NA,NA,NIFTYNXT50,17725,16118.36701750
02-07-2026,NA,NA,FINNIFTY,136740,43047.42247100
02-07-2026,NA,NA,MIDCPNIFTY,9171480,3129091.06444320
02-07-2026,NA,NA,SENSEX,10105580,1424700.53097400
02-07-2026,NA,NA,NIFTY,472532610,65651515.36887525
