Sr no,Security,Series,Outstanding Quantity at the end of the day
565,PGEL,X7,65247
566,PHOENIXLTD,X8,10126
567,PIDILITIND,X7,20
568,PIIND,X5,20
569,PIIND,X7,257395
570,PIIND,X8,41340
571,PINELABS,X7,143
572,PNB,X7,341
573,PNBHOUSING,X7,2
574,POCL,X7,27
575,POKARNA,X7,6
576,POLICYBZR,X7,1805
577,POLICYBZR,X8,29044
578,POLYCAB,X7,47509
579,POLYCAB,X8,117440
580,POLYMED,X7,5
581,POLYPLEX,X7,4
582,POONAWALLA,X7,1250
583,POWERGRID,X7,650
584,POWERGRID,X8,1
585,POWERINDIA,X7,3786
586,POWERINDIA,X8,10357
587,PPLPHARMA,X3,1
588,PRAKASH,X7,25
589,PREMEXPLN,X7,1
590,PREMIERENE,X4,108
591,PREMIERENE,X7,191679
592,PREMIERENE,X8,3821
593,PRESTIGE,X7,453
594,PRIVISCL,X7,18
595,PTCIL,X7,1
596,PVRINOX,X7,172
597,PWL,X7,12
598,QPOWER,X7,9470
599,QPOWER,X8,10467
600,QPOWER,X9,772
601,RADICO,X7,866
602,RADICO,X8,3606
603,RAMCOCEM,X7,18400
604,RAMCOCEM,X8,10072
605,RATEGAIN,X7,26
606,RAYMOND,X7,1
607,RAYMONDLSL,X7,4
608,RAYMONDREL,X7,901
609,RBA,X7,454735
610,RBLBANK,X7,6959
611,RECLTD,X7,2450
612,RECLTD,X8,175
613,RELIANCE,X7,579468
614,RELIANCE,X8,1475506
615,RELIGARE,X7,274
616,RHIM,X7,3
617,RKFORGE,X7,13
618,RRKABEL,X7,36
619,RUBICON,X7,650
620,RVNL,X4,4720
621,RVNL,X5,19419
622,RVNL,X7,9940428
623,RVNL,X8,4208391
624,RVNL,XD,220
625,RVNL,XO,664
626,SAGILITY,X7,1
627,SAIL,X7,15098
628,SAILIFE,X7,2
629,SAMMAANCAP,X7,9427
630,SANSERA,X7,8
631,SAPPHIRE,X7,150
632,SAREGAMA,X7,4
633,SBICARD,X4,257
634,SBICARD,X5,73
635,SBICARD,X7,436655
636,SBICARD,X8,334276
637,SBILIFE,X7,2625
638,SBILIFE,X8,100
639,SBIN,X7,20710
640,SCHNEIDER,X7,964
641,SCI,X7,8828
642,SENORES,X7,2
643,SHAILY,X7,17
644,SHAKTIPUMP,X7,181
645,SHARDACROP,X7,1
646,SHREECEM,X4,2
647,SHREECEM,X5,1
648,SHREECEM,X7,51042
649,SHREECEM,X8,18442
650,SHRIRAMFIN,X7,163
651,SIEMENS,X4,5
652,SIEMENS,X7,151801
653,SIEMENS,X8,961618
654,SIEMENS,X9,50400
655,SJS,X7,22
656,SKYGOLD,X7,8
657,SONACOMS,X7,39
658,SONACOMS,X8,35579
659,SONATSOFTW,X7,22154
660,SPARC,X7,838
661,SRF,X7,39489
662,SRF,X8,215056
663,STLTECH,X7,168807
664,STLTECH,X8,4201
665,STLTECH,X9,2330
666,SUNDARMFIN,X7,6
667,SUNPHARMA,X7,1944
668,SUNPHARMA,X8,9
669,SUNPHARMA,X9,31
670,SUPREMEIND,X7,7156
671,SUPRIYA,X7,217
672,SUZLON,X7,168711
673,SUZLON,X8,5
674,SWARAJENG,X7,59
675,SWARAJENG,X8,29
676,SWIGGY,X4,155
677,SWIGGY,X5,18
678,SWIGGY,X7,11466
679,SWIGGY,X8,14300
680,SWSOLAR,X7,81
681,SYRMA,X7,69
682,TATACAP,X7,242095
683,TATACHEM,X7,1
684,TATACONSUM,X7,1
685,TATAELXSI,X7,152616
686,TATAELXSI,X8,1146459
687,TATAELXSI,X9,2
688,TATAINVEST,X7,3300
689,TATAINVEST,X8,4500
690,TATAPOWER,X7,6147
691,TATASTEEL,X7,155537
692,TATASTEEL,X8,27526
693,TATATECH,X7,201
694,TBOTEK,X7,16
695,TCS,X7,1884112
696,TCS,X8,4376003
697,TCS,X9,2
698,TDPOWERSYS,X7,1
699,TEAMLEASE,X7,34
700,TECH,X7,25
701,TECHM,X4,4
702,TECHM,X5,10
703,TECHM,X7,2423167
704,TECHM,X8,3917859
705,TECHM,X9,22200
706,TECHNOE,X7,1
707,TEJASNET,X7,3
708,TENNIND,X7,19858
709,TENNIND,X8,16621
710,THANGAMAYL,X7,2
711,THELEELA,X7,7
712,THERMAX,X7,969
713,THERMAX,X8,83
714,TI,X7,119
715,TIINDIA,X7,1198
716,TIMKEN,X7,10
717,TITAGARH,X7,17
718,TITAGARH,XN,17
719,TITAGARH,XO,50
720,TITAN,X7,50710
721,TITAN,X8,350
722,TMCV,X7,597
723,TMCV,X8,1431
724,TMPV,X7,320
725,TMPV,X8,689
726,TORNTPHARM,X7,118925
727,TORNTPHARM,X8,107817
728,TRENT,X7,248227
729,TRENT,X8,2090053
730,TRENT,X9,56
731,TRIDENT,X7,10345
732,TRITURBINE,X7,25
733,TVSMOTOR,07,7700
734,TVSMOTOR,X7,87901
735,ULTRACEMCO,X7,188
736,UNIONBANK,X4,1
737,UNIONBANK,X5,176
738,UNIONBANK,X7,11
739,UNOMINDA,X7,4564
