Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,02072026,1980061622,0003156
Trade Date <02-JUL-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,435,ARIHANTSUP,EQ,7705,4657,60.44
20,436,ARIS,EQ,291243,229017,78.63
20,437,ARKADE,EQ,364916,127612,34.97
20,438,ARMANFIN,EQ,14004,6702,47.86
20,439,ARMOUR,SM,10000,8000,80.00
20,440,AROGRANITE,EQ,1742,1365,78.36
20,441,ARSSBL,EQ,284431,154717,54.40
20,442,ARTEMISMED,EQ,121606,70422,57.91
20,443,ARTNIRMAN,EQ,18,18,100.00
20,444,ARUNAYA,ST,6000,6000,100.00
20,445,ARVEE,EQ,113,65,57.52
20,446,ARVIND,EQ,890766,401431,45.07
20,447,ARVINDFASN,EQ,245001,134096,54.73
20,448,ARVINDPORT,ST,10500,10500,100.00
20,449,ARVSMART,EQ,17742,11351,63.98
20,450,ASAHIINDIA,EQ,204949,85169,41.56
20,451,ASAHISONG,EQ,4342,3323,76.53
20,452,ASAL,EQ,14503,8539,58.88
20,453,ASALCBR,EQ,10860,4923,45.33
20,454,ASHALOG,SM,27000,24000,88.89
20,455,ASHAPURMIN,EQ,344506,167247,48.55
20,456,ASHIANA,EQ,91787,41031,44.70
20,457,ASHIKA,EQ,240020,89087,37.12
20,458,ASHIMASYN,EQ,30840,27340,88.65
20,459,ASHOKA,EQ,487891,260768,53.45
20,460,ASHOKAMET,EQ,10094,7978,79.04
20,461,ASHOKLEY,EQ,27360903,13948498,50.98
20,462,ASHWINI,SM,161000,72000,44.72
20,463,ASIANENE,EQ,189225,92140,48.69
20,464,ASIANHOTNR,EQ,5125,2127,41.50
20,465,ASIANPAINT,EQ,1629567,1153052,70.76
20,466,ASIANTILES,EQ,3582562,734757,20.51
20,467,ASKAUTOLTD,EQ,303568,145926,48.07
20,468,ASPINWALL,EQ,1704,1421,83.39
20,469,ASPIRE,SM,10000,8000,80.00
20,470,ASTAR,EQ,13,12,92.31
20,471,ASTEC,EQ,91387,28882,31.60
20,472,ASTERDM,EQ,420174,199198,47.41
20,473,ASTRAL,EQ,806625,455354,56.45
20,474,ASTRAMICRO,EQ,697901,395324,56.64
20,475,ASTRAZEN,EQ,3281,2270,69.19
20,476,ATALREAL,EQ,10252874,3999941,39.01
20,477,ATAM,EQ,2968,1829,61.62
20,478,ATCENERGY,ST,2400,2400,100.00
20,479,ATGL,EQ,1764349,386189,21.89
20,480,ATHERENERG,EQ,2404528,673987,28.03
20,481,ATL,EQ,79328,52382,66.03
20,482,ATLANTAA,EQ,64194,32770,51.05
20,483,ATLANTAELE,EQ,68497,43770,63.90
20,484,ATLASCYCLE,EQ,9349,6931,74.14
20,485,ATLPP,E1,14,14,100.00
20,486,ATMASTCO,ST,14800,12000,81.08
20,487,ATUL,EQ,17064,9195,53.89
20,488,ATULAUTO,EQ,168445,70212,41.68
20,489,AUBANK,EQ,1248018,630417,50.51
20,490,AURIGROW,EQ,18439512,10970847,59.50
20,491,AURIONPRO,EQ,196067,90749,46.28
20,492,AUROPHARMA,EQ,647847,306841,47.36
20,493,AURUM,EQ,168397,93488,55.52
20,494,AUSL,SM,12000,12000,100.00
20,495,AUTOAXLES,EQ,6224,3409,54.77
20,496,AUTOBEES,EQ,239290,128515,53.71
20,497,AUTOIETF,EQ,632799,379598,59.99
20,498,AVALON,EQ,363841,185732,51.05
20,499,AVANA,ST,22000,22000,100.00
20,500,AVANTEL,EQ,1783923,540253,30.28
20,501,AVANTIFEED,EQ,319751,108247,33.85
20,502,AVG,EQ,119484,51295,42.93
20,503,AVIANSH,SM,5000,5000,100.00
20,504,AVIENCE,ST,6000,6000,100.00
20,505,AVL,EQ,274256,163056,59.45
