507813,BL,M,2026121,64.66
507813,EQ,M,2026121,64.66
507817,BL,M,2026121,170.64
507817,EQ,M,2026121,170.64
507828,BL,M,2026121,7.67
507828,EQ,M,2026121,7.67
507833,BL,M,2026121,4.70
507833,EQ,M,2026121,4.70
507852,BL,M,2026121,100.98
507852,EQ,M,2026121,100.98
507872,BL,M,2026121,45.48
507872,EQ,M,2026121,45.48
507912,BL,M,2026121,213.54
507912,EQ,M,2026121,213.54
507917,BL,M,2026121,66.68
507946,BL,M,2026121,19.56
507946,EQ,M,2026121,19.56
507948,BL,M,2026121,70.73
507948,EQ,M,2026121,70.73
507960,BL,M,2026121,220.02
507960,EQ,M,2026121,220.02
507962,BL,M,2026121,5.71
507962,EQ,M,2026121,5.71
507966,BL,M,2026121,68.90
507966,EQ,M,2026121,68.90
507970,BL,M,2026121,40.21
507970,EQ,M,2026121,40.21
507981,BL,M,2026121,77.02
507981,EQ,M,2026121,77.02
507998,BL,M,2026121,203.88
508494,BL,M,2026121,55.74
508494,EQ,M,2026121,55.74
508571,BL,M,2026121,159.84
508571,EQ,M,2026121,159.84
508664,BL,M,2026121,12.58
508664,EQ,M,2026121,12.58
508807,BL,M,2026121,760.08
508807,EQ,M,2026121,760.08
508867,BL,M,2026121,46.46
508875,BL,M,2026121,695.70
508875,EQ,M,2026121,695.70
508905,BL,M,2026121,140.04
508918,BL,M,2026121,55.20
508918,EQ,M,2026121,55.20
508941,BL,M,2026121,561.90
508941,EQ,M,2026121,561.90
508956,BL,M,2026121,12.12
508956,EQ,M,2026121,12.12
508961,BL,M,2026121,234.00
508969,BL,M,2026121,3.26
508969,EQ,M,2026121,3.26
508980,BL,M,2026121,11.36
508980,EQ,M,2026121,11.36
509015,BL,M,2026121,15.58
509015,EQ,M,2026121,15.58
509024,BL,M,2026121,10.70
509024,EQ,M,2026121,10.70
509026,BL,M,2026121,72.12
509026,EQ,M,2026121,72.12
509038,BL,M,2026121,17.62
509038,EQ,M,2026121,17.62
509040,BL,M,2026121,216.12
509040,EQ,M,2026121,216.12
509046,BL,M,2026121,56.64
509051,BL,M,2026121,0.70
509051,EQ,M,2026121,0.70
509053,BL,M,2026121,8.41
509053,EQ,M,2026121,8.41
509073,BL,M,2026121,14.10
509073,EQ,M,2026121,14.10
509084,BL,M,2026121,234.90
509084,EQ,M,2026121,234.90
509162,BL,M,2026121,132.00
509162,EQ,M,2026121,132.00
509196,BL,M,2026121,71.63
509196,EQ,M,2026121,71.63
509423,BL,M,2026121,46.26
509423,EQ,M,2026121,46.26
509438,BL,M,2026121,12420.00
509438,EQ,M,2026121,12420.00
509449,BL,M,2026121,40.92
509449,EQ,M,2026121,40.92
509470,BL,M,2026121,23277.60
509470,EQ,M,2026121,23277.60
509472,BL,M,2026121,471.12
509472,EQ,M,2026121,471.12
509486,BL,M,2026121,92.09
509486,EQ,M,2026121,92.09
509525,BL,M,2026121,1207.92
509525,EQ,M,2026121,1207.92
509563,BL,M,2026121,26.28
509563,EQ,M,2026121,26.28
509597,BL,M,2026121,987.12
509597,EQ,M,2026121,987.12
509760,BL,M,2026121,40.82
509760,EQ,M,2026121,40.82
509762,BL,M,2026121,33.04
509762,EQ,M,2026121,33.04
509887,BL,M,2026121,945.06
509895,BL,M,2026121,198.00
509895,EQ,M,2026121,198.00
509953,BL,M,2026121,682.26
509960,BL,M,2026121,1662.36
509960,EQ,M,2026121,1662.36
510245,BL,M,2026121,4.46
510245,EQ,M,2026121,4.46
511000,BL,M,2026121,21.22
511000,EQ,M,2026121,21.22
511012,BL,M,2026121,0.76
511016,BL,M,2026121,6.40
511016,EQ,M,2026121,6.40
511018,BL,M,2026121,53.82
511018,EQ,M,2026121,53.82
511066,BL,M,2026121,34.20
511066,EQ,M,2026121,34.20
511092,BL,M,2026121,7.69
511092,EQ,M,2026121,7.69
511110,BL,M,2026121,19.80
511110,EQ,M,2026121,19.80
511116,BL,M,2026121,0.46
511122,BL,M,2026121,85.20
511122,EQ,M,2026121,85.20
511131,BL,M,2026121,18.49
511131,EQ,M,2026121,18.49
511147,BL,M,2026121,74.18
511147,EQ,M,2026121,74.18
511153,BL,M,2026121,19.34
511153,EQ,M,2026121,19.34
511169,BL,M,2026121,7.88
511176,BL,M,2026121,79.99
511176,EQ,M,2026121,79.99
511187,BL,M,2026121,2.52
511187,EQ,M,2026121,2.52
511200,BL,M,2026121,124.44
511246,BL,M,2026121,4.34
511246,EQ,M,2026121,4.34
511260,BL,M,2026121,45.65
511260,EQ,M,2026121,45.65
511355,BL,M,2026121,21.82
511359,BL,M,2026121,70.86
511359,EQ,M,2026121,70.86
511391,BL,M,2026121,86.64
511391,EQ,M,2026121,86.64
511411,BL,M,2026121,35.51
511411,EQ,M,2026121,35.51
511441,BL,M,2026121,26.40
511441,EQ,M,2026121,26.40
511447,BL,M,2026121,0.32
511447,EQ,M,2026121,0.32
511451,BL,M,2026121,18.00
511463,BL,M,2026121,8.77
511463,EQ,M,2026121,8.77
511493,BL,M,2026121,5.28
511493,EQ,M,2026121,5.28
511501,BL,M,2026121,28.96
511501,EQ,M,2026121,28.96
511509,BL,M,2026121,28.20
511509,EQ,M,2026121,28.20
511523,BL,M,2026121,38.96
511523,EQ,M,2026121,38.96
511525,BL,M,2026121,2.14
511525,EQ,M,2026121,2.14
511533,BL,M,2026121,55.00
511535,BL,M,2026121,36.72
511535,EQ,M,2026121,36.72
511539,BL,M,2026121,17.40
511539,EQ,M,2026121,17.40
511543,BL,M,2026121,38.39
511543,EQ,M,2026121,38.39
511549,BL,M,2026121,76.37
511549,EQ,M,2026121,76.37
511557,BL,M,2026121,3.28
511571,BL,M,2026121,143.04
511571,EQ,M,2026121,143.04
511577,BL,M,2026121,20.17
511577,EQ,M,2026121,20.17
511585,BL,M,2026121,3.79
511585,EQ,M,2026121,3.79
511593,BL,M,2026121,19.21
511593,EQ,M,2026121,19.21
511601,BL,M,2026121,11.69
511601,EQ,M,2026121,11.69
511626,BL,M,2026121,120.97
511636,BL,M,2026121,2.29
511636,EQ,M,2026121,2.29
511654,BL,M,2026121,71.99
511654,EQ,M,2026121,71.99
511658,BL,M,2026121,19.40
511658,EQ,M,2026121,19.40
511664,BL,M,2026121,11.52
511664,EQ,M,2026121,11.52
511692,BL,M,2026121,7.31
511692,EQ,M,2026121,7.31
511696,BL,M,2026121,319.80
511696,EQ,M,2026121,319.80
511700,BL,M,2026121,0.47
511700,EQ,M,2026121,0.47
511702,BL,M,2026121,207.24
511702,EQ,M,2026121,207.24
511710,BL,M,2026121,4.37
511712,BL,M,2026121,82.60
511712,EQ,M,2026121,82.60
511716,BL,M,2026121,7.76
511716,EQ,M,2026121,7.76
511740,BL,M,2026121,180.00
511756,BL,M,2026121,40.27
511764,BL,M,2026121,40.50
511764,EQ,M,2026121,40.50
512014,BL,M,2026121,1063.62
512014,EQ,M,2026121,1063.62
512018,BL,M,2026121,9.96
512018,EQ,M,2026121,9.96
512025,BL,M,2026121,39.92
512025,EQ,M,2026121,39.92
512026,BL,M,2026121,74.34
512047,BL,M,2026121,6.95
512048,BL,M,2026121,2.94
512048,EQ,M,2026121,2.94
512062,BL,M,2026121,178.68
512064,BL,M,2026121,47.74
512064,EQ,M,2026121,47.74
512065,BL,M,2026121,69.66
512093,BL,M,2026121,4.32
512097,BL,M,2026121,0.29
512097,EQ,M,2026121,0.29
512099,BL,M,2026121,870.00
512103,BL,M,2026121,449.94
512115,BL,M,2026121,76.80
512115,EQ,M,2026121,76.80
512149,BL,M,2026121,1.19
512149,EQ,M,2026121,1.19
512169,BL,M,2026121,17.41
512169,EQ,M,2026121,17.41
512175,BL,M,2026121,4.21
512175,EQ,M,2026121,4.21
512197,BL,M,2026121,7.20
512217,BL,M,2026121,34.14
512229,BL,M,2026121,210.00
512247,BL,M,2026121,3.34
512247,EQ,M,2026121,3.34
512257,BL,M,2026121,4.43
512257,EQ,M,2026121,4.43
512277,BL,M,2026121,433.56
512277,EQ,M,2026121,433.56
512301,BL,M,2026121,29.70
512344,BL,M,2026121,5.14
512344,EQ,M,2026121,5.14
512345,BL,M,2026121,224.40
512361,BL,M,2026121,38.95
512379,BL,M,2026121,2.87
512379,EQ,M,2026121,2.87
512399,BL,M,2026121,49.70
512399,EQ,M,2026121,49.70
512415,BL,M,2026121,6.19
512415,EQ,M,2026121,6.19
512437,BL,M,2026121,417.48
512437,EQ,M,2026121,417.48
512441,BL,M,2026121,0.35
512443,BL,M,2026121,16.79
512443,EQ,M,2026121,16.79
512453,BL,M,2026121,704.64
512453,EQ,M,2026121,704.64
512477,BL,M,2026121,542.76
512477,EQ,M,2026121,542.76
512489,BL,M,2026121,14.04
512493,BL,M,2026121,75.59
512493,EQ,M,2026121,75.59
512499,BL,M,2026121,0.30
