SYMBOL,SERIES,ISIN,Sec Desc,STT Indicator                                                                                                             
EC4RD,MF,INF903JA1DO8,SUNDARMAMC - EC4RD,EF                                                                                                           
538594,MF,INF204KA1RV6,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
538630,MF,INF204KA1SW2,RELIANCE MUTUAL FUND - RELIANC,EF                                                                                              
538631,MF,INF204KA1SV4,RELIANCE MUTUAL FUND- RELIANCE,EF                                                                                              
ICICIAUTO,EQ,INF109KC1Y49,ICICIPRAMC - ICICIAUTO,EF                                                                                                   
ICICIAUTO,BL,INF109KC1Y49,ICICIPRAMC - ICICIAUTO,EF                                                                                                   
NEXT50IETF,EQ,INF109KC1NS5,ICICIPRAMC - ICICINXT50,EF                                                                                                 
NV20IETF,BL,INF109KC11V0,ICICI PRUDENTIAL NV20 ETF,EF                                                                                                 
543186,MF,INF204KB13U9,Nippon India Mutual Fund,EF                                                                                                    
VARDM-RE,BE,INE835A20011,VARDHMAN POLYTEX LIMITED,RE                                                                                                  
MOIPO,BL,INF247L01GI5,MOTILALAMC - MOIPO,EF                                                                                                           
SRPL-RE,BE,INE008Z20012,SHREE RAM PROTEINS LTD,RE                                                                                                     
SRPL-RE,BL,INE008Z20012,SHREE RAM PROTEINS LTD,RE                                                                                                     
MID150CASE,EQ,INF0R8F01059,ZERODHAAMC - MID150CASE,EF                                                                                                 
HCC-RE1,BE,INE549A20026,HINDUSTAN CONSTRUCTION CO,RE                                                                                                  
BROOKS-RE,BL,INE650L20011,BROOKS LAB LIMITED,RE                                                                                                       
VCL-RE,BL,INE098220010,VAXTEX COTFAB LIMITED,RE                                                                                                       
SENSEXADD,EQ,INF740KA1SZ6,DSPAMC - DSPSENXETF,EF                                                                                                      
NPBET,EQ,INF277K010X4,TATAAML - NPBET,EF                                                                                                              
GROWWPSUBK,BL,INF666M01OG2,GROWWAMC - GROWWPSUBK,EF                                                                                                   
VIJIFI-RE,BE,INE159N20019,VIJI FINANCE LIMITED,RE                                                                                                     
INTERNET,EQ,INF769K01PB6,MIRAEAMC - INTERNET,EF                                                                                                       
HEALTHCARE,BL,INF769K01QA6,MIRAEAMC - HEALTHCARE,EF                                                                                                   
INOXWI-RE,BL,INE066P20011,INOX WIND LTD,RE                                                                                                            
MOPSE,EQ,INF247L01FO5,MOTILALAMC - MOPSE,EF                                                                                                           
CONS,EQ,INF174KA1ZF8,KOTAKMAMC - KOTAKCONS,EF                                                                                                         
751126,BE,INE187R20011,Consecutive Commodities Limite,RE                                                                                              
SOUTH-RE,BL,INE683A20015,THE SOUTH INDIAN BANK LTD,RE                                                                                                 
GLOBE-RE,BE,INE581X20013,GLOBE TEXTILES LIMITED,RE                                                                                                    
ANURAS,W1,INE930P13013,ANUPAM RASAYAN INDIA LTD,RE                                                                                                    
GISO-RE,BE,INE065J20016,GI ENGINEERING SOLUTIONS,RE                                                                                                   
M16RD,MF,INF903JA1BC7,SUNDARMAMC - M16RD,EF                                                                                                           
ICICINF100,EQ,INF109KA1962,ICICI PRUD NIFTY 100 ETF,EF                                                                                                
ICICINF100,BL,INF109KA1962,ICICI PRUD NIFTY 100 ETF,EF                                                                                                
MSCIINDIA,BL,INF174KA1VD2,KOTAKMAMC - MSCIINDIA,EF                                                                                                    
NEXT30ADD,BL,INF740KA1VE5,DSPAMC - NEXT30ADD,EF                                                                                                       
EC6DD,MF,INF903JA1EW9,SUNDARMAMC - EC6DD,EF                                                                                                           
EC6DG,MF,INF903JA1EV1,SUNDARMAMC - EC6DG,EF                                                                                                           
UTKAR-RE,BE,INE735W20017,UTKARSH SMALL FIN BANK L,RE                                                                                                  
QSIFAARG,SE,INF966L30217,QUANT AMC - QSIFAARG,EF                                                                                                      
GREEN-RE,BE,INE999K20014,ORIENT GREEN POWER CO LTD,RE                                                                                                 
BCIL-RE,BE,INE414D20019,BHAGIRADHA CHEM & IND LTD,RE                                                                                                  
NIFTYBETF,EQ,INF0QA701722,BFAM - NIFTYBETF,EF                                                                                                         
MONIFTY100,EQ,INF247L01GG9,MOTILALAMC - MONIFTY100,EF                                                                                                 
SM547,MF,INF903J01M85,SUNDARMAMC - SM547,EF                                                                                                           
LICNFNHGP,BL,INF767K01PC8,LICNAMC - LICNFNHGP,EF                                                                                                      
VF1RG,MF,INF903J01Z80,SUNDARMAMC - VF1RG,EF                                                                                                           
LICNETFN50,EQ,INF767K01OS7,LICNAMC - LICNFENGP,EF                                                                                                     
UTIFEFDDP2,MF,INF789FA16T6,UTIAMC - UTIFEFDDP2,EF                                                                                                     
T4DD,MF,INF903J019A8,SUNDARMAMC - T4DD,EF                                                                                                             
QNIFTY,EQ,INF082J01499,QUANTUM NIFTY 50 ETF,EF                                                                                                        
ABSLBANETF,EQ,INF209KB17D5,BIRLASLAMC - ABSLBANETF,EF                                                                                                 
ESENSEX,BL,INF754K01VY8,EDELAMC - ESENSEX,EF                                                                                                          
ENIFTY,EQ,INF754K01VX0,EDELAMC - ENIFTY,EF                                                                                                            
ENIFTY,BL,INF754K01VX0,EDELAMC - ENIFTY,EF                                                                                                            
OILIETF,EQ,INF109KC18W3,ICICIPRAMC - OILIETF,EF                                                                                                       
ADANI-RE,BE,INE423A20016,ADANI ENTERPRISES LIMITED,RE                                                                                                 
ADANI-RE,BL,INE423A20016,ADANI ENTERPRISES LIMITED,RE                                                                                                 
SKIPPER-RE,BE,INE439E20014,SKIPPER LIMITED,RE                                                                                                         
BBNPNBETF,EQ,INF251K01TL6,BARODABNP - BBNPNBETF,EF                                                                                                    
AXISBNKETF,EQ,INF846K01X63,AXISAMC - AXISBNKETF,EF                                                                                                    
MIRC-RE,BL,INE831A20010,MIRC ELECTRONICS LTD,RE                                                                                                       
GVPTECH-RE,BL,INE382T20014,GVP INFOTECH LTD,RE                                                                                                        
GROWWNET,EQ,INF666M01LI4,GROWWAMC - GROWWNET,EF                                                                                                       
