DATE,INSTRUMENT,UNDERLYING,EXPIRY DATE,MTM SETTLEMENT PRICE
02-JUL-2026,FUTSTK,BAJAJHLDNG,29-SEP-2026,11032.00
02-JUL-2026,FUTSTK,BAJFINANCE,28-JUL-2026,1024.90
02-JUL-2026,FUTSTK,BAJFINANCE,30-JUL-2026,1023.30
02-JUL-2026,FUTSTK,BAJFINANCE,25-AUG-2026,1030.20
02-JUL-2026,FUTSTK,BAJFINANCE,27-AUG-2026,1028.70
02-JUL-2026,FUTSTK,BAJFINANCE,24-SEP-2026,1033.90
02-JUL-2026,FUTSTK,BAJFINANCE,29-SEP-2026,1037.20
02-JUL-2026,FUTSTK,BANDHANBNK,28-JUL-2026,205.70
02-JUL-2026,FUTSTK,BANDHANBNK,30-JUL-2026,206.06
02-JUL-2026,FUTSTK,BANDHANBNK,25-AUG-2026,205.85
02-JUL-2026,FUTSTK,BANDHANBNK,27-AUG-2026,207.16
02-JUL-2026,FUTSTK,BANDHANBNK,24-SEP-2026,208.20
02-JUL-2026,FUTSTK,BANDHANBNK,29-SEP-2026,206.88
02-JUL-2026,FUTSTK,BANKBARODA,28-JUL-2026,261.80
02-JUL-2026,FUTSTK,BANKBARODA,30-JUL-2026,261.50
02-JUL-2026,FUTSTK,BANKBARODA,25-AUG-2026,263.15
02-JUL-2026,FUTSTK,BANKBARODA,27-AUG-2026,262.90
02-JUL-2026,FUTSTK,BANKBARODA,24-SEP-2026,264.20
02-JUL-2026,FUTSTK,BANKBARODA,29-SEP-2026,264.80
02-JUL-2026,FUTSTK,BANKINDIA,28-JUL-2026,145.87
02-JUL-2026,FUTSTK,BANKINDIA,30-JUL-2026,145.64
02-JUL-2026,FUTSTK,BANKINDIA,25-AUG-2026,146.70
02-JUL-2026,FUTSTK,BANKINDIA,27-AUG-2026,146.42
02-JUL-2026,FUTSTK,BANKINDIA,24-SEP-2026,147.15
02-JUL-2026,FUTSTK,BANKINDIA,29-SEP-2026,147.30
02-JUL-2026,FUTSTK,BDL,28-JUL-2026,1383.40
02-JUL-2026,FUTSTK,BDL,30-JUL-2026,1391.40
02-JUL-2026,FUTSTK,BDL,25-AUG-2026,1364.80
02-JUL-2026,FUTSTK,BDL,27-AUG-2026,1398.80
02-JUL-2026,FUTSTK,BDL,24-SEP-2026,1405.80
02-JUL-2026,FUTSTK,BDL,29-SEP-2026,1355.40
02-JUL-2026,FUTSTK,BEL,28-JUL-2026,417.05
02-JUL-2026,FUTSTK,BEL,30-JUL-2026,417.00
02-JUL-2026,FUTSTK,BEL,25-AUG-2026,419.10
02-JUL-2026,FUTSTK,BEL,27-AUG-2026,419.25
02-JUL-2026,FUTSTK,BEL,24-SEP-2026,421.35
02-JUL-2026,FUTSTK,BEL,29-SEP-2026,421.80
02-JUL-2026,FUTSTK,BHARATFORG,28-JUL-2026,2151.50
02-JUL-2026,FUTSTK,BHARATFORG,30-JUL-2026,2159.00
02-JUL-2026,FUTSTK,BHARATFORG,25-AUG-2026,2147.20
02-JUL-2026,FUTSTK,BHARATFORG,27-AUG-2026,2170.50
02-JUL-2026,FUTSTK,BHARATFORG,24-SEP-2026,2181.40
02-JUL-2026,FUTSTK,BHARATFORG,29-SEP-2026,2183.30
02-JUL-2026,FUTSTK,BHARTIARTL,28-JUL-2026,1880.40
02-JUL-2026,FUTSTK,BHARTIARTL,30-JUL-2026,1884.00
02-JUL-2026,FUTSTK,BHARTIARTL,25-AUG-2026,1871.60
02-JUL-2026,FUTSTK,BHARTIARTL,27-AUG-2026,1894.10
02-JUL-2026,FUTSTK,BHARTIARTL,24-SEP-2026,1903.60
02-JUL-2026,FUTSTK,BHARTIARTL,29-SEP-2026,1886.50
02-JUL-2026,FUTSTK,BHEL,28-JUL-2026,403.00
02-JUL-2026,FUTSTK,BHEL,30-JUL-2026,403.85
02-JUL-2026,FUTSTK,BHEL,25-AUG-2026,405.05
02-JUL-2026,FUTSTK,BHEL,27-AUG-2026,406.00
02-JUL-2026,FUTSTK,BHEL,24-SEP-2026,408.05
02-JUL-2026,FUTSTK,BHEL,29-SEP-2026,407.50
02-JUL-2026,FUTSTK,BIOCON,28-JUL-2026,421.05
02-JUL-2026,FUTSTK,BIOCON,30-JUL-2026,420.60
02-JUL-2026,FUTSTK,BIOCON,25-AUG-2026,422.90
02-JUL-2026,FUTSTK,BIOCON,27-AUG-2026,422.85
02-JUL-2026,FUTSTK,BIOCON,24-SEP-2026,424.95
02-JUL-2026,FUTSTK,BIOCON,29-SEP-2026,425.35
02-JUL-2026,FUTSTK,BLUESTARCO,28-JUL-2026,1598.60
02-JUL-2026,FUTSTK,BLUESTARCO,30-JUL-2026,1606.60
02-JUL-2026,FUTSTK,BLUESTARCO,25-AUG-2026,1585.70
02-JUL-2026,FUTSTK,BLUESTARCO,27-AUG-2026,1615.20
02-JUL-2026,FUTSTK,BLUESTARCO,24-SEP-2026,1623.30
